Регион;Код;2017;2018;2019;2020;2021;2022;2023
Костромская область;340;-747.0;-1127.0;-536.0;30.0;-453.0;-434.0;-624.0
Курская область;380;-1350.0;-1294.0;125.0;-92.0;-818.0;-1306.0;12.0
Липецкая область;420;-1315.0;-1178.0;-576.0;-153.0;-599.0;-1026.0;-844.0
Московская область;460;30858.0;39699.0;31972.0;12522.0;28684.0;21689.0;20369.0
Орловская область;540;-1573.0;-1420.0;-1249.0;-993.0;-962.0;-1070.0;-561.0
Рязанская область;610;-479.0;-557.0;-22.0;578.0;124.0;-268.0;257.0
Смоленская область;660;-1139.0;-1468.0;-857.0;-147.0;-856.0;-850.0;39.0
Тамбовская область;680;-1627.0;-2118.0;-1397.0;-447.0;-1112.0;-1161.0;-586.0
Тверская область;280;-2251.0;-2389.0;-1636.0;-745.0;-1058.0;-1168.0;-324.0
Тульская область;700;-1790.0;-2388.0;-1443.0;-523.0;-846.0;-1256.0;12.0
Ярославская область;780;187.0;388.0;387.0;-342.0;-353.0;-169.0;395.0
Город Москва столица Российской Федерации город федерального значения;450;40580.0;33349.0;16532.0;467.0;4463.0;29884.0;13348.0
Северо-Западный федеральный округ;31;19279.0;16345.0;16400.0;10039.0;12948.0;6479.0;10527.0
Республика Карелия;860;-552.0;-448.0;-144.0;152.0;393.0;117.0;261.0
Республика Коми;870;-4087.0;-3879.0;-3768.0;-1829.0;-2662.0;-1932.0;-1068.0
Архангельская область;110;-3808.0;-2871.0;-1578.0;-903.0;-856.0;-990.0;-514.0
Ненецкий автономный округ (Архангельская область);111;-127.0;-124.0;-35.0;4.0;59.0;15.0;165.0
Архангельская область (кроме Ненецкого автономного округа);110;-3681.0;-2747.0;-1543.0;-907.0;-915.0;-1005.0;-679.0
Вологодская область;190;-1551.0;-1615.0;-1160.0;-603.0;-844.0;-798.0;-289.0
Вологда;194;-556.0;-277.0;;;;;
Череповец;194;-445.0;-467.0;;;;;
Калининградская область;270;1817.0;2837.0;3458.0;3778.0;4552.0;1689.0;1724.0
Ленинградская область;410;11469.0;18366.0;15904.0;11743.0;13228.0;13486.0;9485.0
Мурманская область;470;-1557.0;-1931.0;-2542.0;-1404.0;-1419.0;-1321.0;158.0
Новгородская область;490;-650.0;-612.0;-169.0;293.0;-10.0;-233.0;33.0
Псковская область;580;-469.0;-301.0;-43.0;645.0;-170.0;-1114.0;-969.0
Город Санкт-Петербург город федерального значения;400;18667.0;6799.0;6442.0;-1833.0;736.0;-2425.0;1706.0
Южный федеральный округ (с 29.07.2016);40;8658.0;13577.0;8376.0;13591.0;10771.0;316.0;21025.0
Республика Адыгея (Адыгея);790;119.0;712.0;2038.0;1048.0;1934.0;1442.0;1734.0
Республика Калмыкия;850;-1219.0;-1331.0;-706.0;-264.0;-478.0;-428.0;2128.0
Республика Крым;350;979.0;877.0;1863.0;2163.0;620.0;-1105.0;2443.0
Краснодарский край;300;11933.0;14886.0;7939.0;8949.0;9512.0;3325.0;9668.0
Краснодар;340;4197.0;3402.0;;;;;
Армавир;340;54.0;-250.0;;;;;
Новороссийск;342;823.0;563.0;;;;;
Сочи;342;3785.0;4613.0;;;;;
Астраханская область;120;-1796.0;-1928.0;-1639.0;-1344.0;-1753.0;-1685.0;-1293.0
Волгоградская область;180;-4172.0;-1615.0;-3028.0;-639.0;-1804.0;-1590.0;-1095.0
Ростовская область;600;-493.0;-912.0;-197.0;-484.0;-1865.0;-3216.0;5199.0
Город федерального значения Севастополь;670;3307.0;2888.0;2106.0;4162.0;4605.0;3573.0;2241.0
Северо-Кавказский федеральный округ;38;-14405.0;-13038.0;-6889.0;-2815.0;-5335.0;-4376.0;-1308.0
Республика Дагестан;820;-5985.0;-5750.0;-3918.0;-2363.0;-2064.0;-273.0;60.0
Республика Ингушетия;260;576.0;1464.0;1258.0;847.0;854.0;794.0;999.0
Кабардино-Балкарская Республика;830;-1408.0;-1275.0;-948.0;68.0;-550.0;-711.0;-277.0
Карачаево-Черкесская Республика;910;-429.0;-658.0;-550.0;-116.0;-203.0;-166.0;-172.0
Республика Северная Осетия-Алания;900;-2178.0;-2301.0;-1902.0;-1387.0;-1755.0;-2018.0;-1222.0
Чеченская Республика;960;-1989.0;-2098.0;-1477.0;-461.0;-1422.0;-2906.0;-1840.0
Ставропольский край;700;-2992.0;-2420.0;648.0;597.0;-195.0;904.0;1144.0
Приволжский федеральный округ;33;-25489.0;-27148.0;-17209.0;-8755.0;-9406.0;-10663.0;-5379.0
Республика Башкортостан;800;-2871.0;-2630.0;-1733.0;-1657.0;4859.0;299.0;-107.0
Республика Марий Эл;880;-836.0;-793.0;-130.0;-57.0;-147.0;-153.0;-44.0
Республика Мордовия;890;-1973.0;-2081.0;-1275.0;-786.0;-889.0;-826.0;162.0
Республика Татарстан (Татарстан);920;605.0;899.0;667.0;1877.0;1250.0;1759.0;1273.0
Удмуртская Республика;940;-1303.0;-1558.0;-1475.0;-314.0;-654.0;-645.0;-79.0
Чувашская Республика - Чувашия;970;-1623.0;-2000.0;-1142.0;-600.0;-937.0;-997.0;-226.0
Пермский край;570;-2171.0;-2191.0;-1409.0;-1960.0;-2771.0;-1692.0;-940.0
Кировская область;330;-1062.0;-1821.0;-1296.0;-623.0;-1012.0;-302.0;73.0
Нижегородская область;220;-1019.0;-796.0;703.0;889.0;-89.0;-63.0;278.0
Оренбургская область;530;-4557.0;-5235.0;-3306.0;-1569.0;-3787.0;-3288.0;-2717.0
Пензенская область;560;-1600.0;-2126.0;-1505.0;-845.0;-1032.0;-967.0;-510.0
Самарская область;360;-2426.0;-1540.0;-324.0;86.0;102.0;-335.0;-202.0
Саратовская область;630;-3387.0;-3860.0;-3160.0;-2129.0;-3098.0;-2286.0;-1317.0
Саратов;634;19.0;;;;;;
Балаково;634;-367.0;;;;;;
Ульяновская область;730;-1266.0;-1416.0;-1824.0;-1067.0;-1201.0;-1167.0;-1023.0
Уральский федеральный округ;34;-9552.0;-8692.0;-9668.0;-1165.0;-6371.0;-5607.0;-1332.0
Курганская область;370;-2435.0;-2738.0;-1262.0;-572.0;-1890.0;-1190.0;-800.0
Свердловская область;650;-1603.0;-1216.0;-4297.0;-1315.0;-1108.0;-2056.0;-623.0
Тюменская область;710;-1985.0;-186.0;-1719.0;1892.0;-157.0;-1304.0;1662.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;-4567.0;-3131.0;-3791.0;386.0;;;
Ямало-Ненецкий автономный округ (Тюменская область);711;-1927.0;-1535.0;-1416.0;-498.0;-506.0;-1681.0;-1163.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;4509.0;4480.0;3488.0;2004.0;2840.0;1927.0;874.0
Челябинская область;750;-3529.0;-4552.0;-2390.0;-1170.0;-3216.0;-1057.0;-1571.0
Сибирский федеральный округ;35;-22644.0;;;;;;
Сибирский федеральный округ (с 03.11.2018);41;;-19250.0;-17470.0;-12801.0;-17331.0;-13214.0;-8180.0
Республика Алтай;840;-42.0;-166.0;150.0;230.0;202.0;-56.0;-148.0
Республика Тыва;930;-442.0;-559.0;-280.0;-213.0;-645.0;-737.0;-1089.0
Республика Хакасия;950;131.0;-214.0;-388.0;221.0;-372.0;-276.0;-189.0
Алтайский край;100;-4037.0;-3622.0;-2673.0;-1538.0;-3165.0;-1407.0;-1030.0
Чита;764;180.0;26.0;;;;;
Красноярский край;400;-1933.0;-1690.0;-2358.0;-738.0;-910.0;350.0;2065.0
Иркутская область;250;-2689.0;-2416.0;-2805.0;-2847.0;-3149.0;-3061.0;-2536.0
Кемеровская область - Кузбасс;320;-4073.0;-4879.0;-3839.0;-2374.0;-4243.0;-2699.0;-2158.0
Новосибирская область;500;437.0;979.0;1094.0;-288.0;240.0;-788.0;462.0
Омская область;520;-5039.0;-5889.0;-5163.0;-3303.0;-4127.0;-3043.0;-2314.0
Томская область;690;-552.0;-794.0;-1208.0;-1951.0;-1162.0;-1497.0;-1243.0
Томск;694;-278.0;-230.0;;;;;
Дальневосточный федеральный округ;36;-10165.0;;;;;;
Дальневосточный федеральный округ (с 03.11.2018);42;;-15468.0;-10856.0;-8091.0;-11231.0;-9745.0;-5263.0
Республика Бурятия;810;-1167.0;-1670.0;-461.0;-99.0;-985.0;-665.0;-556.0
Забайкальский край;760;-3238.0;-3144.0;-2445.0;-1552.0;-2417.0;-2069.0;-1985.0
Республика Саха (Якутия);980;-2116.0;-2422.0;-1864.0;-1557.0;-1465.0;-1258.0;-532.0
Камчатский край;300;-1228.0;-1195.0;-350.0;-5.0;-10.0;-254.0;392.0
Приморский край;500;-2140.0;-2020.0;-846.0;-756.0;-1557.0;-1909.0;-204.0
Хабаровский край;800;-1832.0;-1661.0;-1453.0;-2333.0;-804.0;-1111.0;-510.0
Амурская область;100;-1280.0;-1124.0;-965.0;-308.0;-1235.0;-784.0;-1088.0
Магаданская область;440;-724.0;-932.0;-604.0;-406.0;-484.0;-330.0;-188.0
Сахалинская область;640;316.0;-683.0;-1323.0;-302.0;-1667.0;-903.0;-164.0
Еврейская автономная область;990;-851.0;-736.0;-445.0;-253.0;-570.0;-513.0;-404.0
Чукотский автономный округ;770;-310.0;119.0;-100.0;-520.0;-37.0;51.0;-24.0
Энгельс;634;-122.0;;;;;;
Северск;695;-75.0;-61.0;;;;;
