Регион;Код;2017;2018;2019;2020;2021;2022;2023
Воронежская область;200;;;;;;;1400.0
Ивановская область;240;;;;;;;-315.0
Калужская область;290;;;;;;;545.0
Костромская область;340;;;;;;;-1256.0
Курская область;380;;;;;;;-799.0
Липецкая область;420;;;;;;;341.0
Московская область;460;;;;;;;15711.0
Орловская область;540;;;;;;;-73.0
Рязанская область;610;;;;;;;339.0
Смоленская область;660;;;;;;;-67.0
Тамбовская область;680;;;;;;;-796.0
Тверская область;280;;;;;;;-103.0
Тульская область;700;;;;;;;-115.0
Ярославская область;780;;;;;;;1032.0
Северо-Западный федеральный округ;31;;;;;;;4048.0
Республика Карелия;860;;;;;;;-278.0
Республика Коми;870;;;;;;;-757.0
Архангельская область;110;;;;;;;-1125.0
Ненецкий автономный округ (Архангельская область);111;;;;;;;95.0
Архангельская область (кроме Ненецкого автономного округа);110;;;;;;;-1220.0
Вологодская область;190;;;;;;;-415.0
Калининградская область;270;;;;;;;483.0
Ленинградская область;410;;;;;;;6062.0
Мурманская область;470;;;;;;;244.0
Новгородская область;490;;;;;;;-197.0
Псковская область;580;;;;;;;31.0
Южный федеральный округ (с 29.07.2016);40;;;;;;;4492.0
Республика Адыгея (Адыгея);790;;;;;;;1767.0
Республика Калмыкия;850;;;;;;;-16.0
Республика Крым;350;;;;;;;1388.0
Краснодарский край;300;;;;;;;3609.0
Астраханская область;120;;;;;;;74.0
Волгоградская область;180;;;;;;;-2052.0
Ростовская область;600;;;;;;;-238.0
Город федерального значения Севастополь;670;;;;;;;-40.0
Северо-Кавказский федеральный округ;38;;;;;;;-9490.0
Республика Дагестан;820;;;;;;;-4493.0
Республика Ингушетия;260;;;;;;;-330.0
Кабардино-Балкарская Республика;830;;;;;;;60.0
Карачаево-Черкесская Республика;910;;;;;;;-421.0
Республика Северная Осетия-Алания;900;;;;;;;-828.0
Чеченская Республика;960;;;;;;;-973.0
Ставропольский край;700;;;;;;;-2505.0
Приволжский федеральный округ;33;;;;;;;-12832.0
Республика Башкортостан;800;;;;;;;-5688.0
Республика Марий Эл;880;;;;;;;-958.0
Республика Мордовия;890;;;;;;;-305.0
Республика Татарстан (Татарстан);920;;;;;;;3880.0
Удмуртская Республика;940;;;;;;;-731.0
Чувашская Республика - Чувашия;970;;;;;;;-699.0
Пермский край;570;;;;;;;-1695.0
Кировская область;330;;;;;;;-1712.0
Нижегородская область;220;;;;;;;136.0
Оренбургская область;530;;;;;;;-2360.0
Пензенская область;560;;;;;;;-487.0
Самарская область;360;;;;;;;1288.0
Саратовская область;630;;;;;;;-2465.0
Ульяновская область;730;;;;;;;-1036.0
Уральский федеральный округ;34;;;;;;;-74.0
Курганская область;370;;;;;;;-962.0
Свердловская область;650;;;;;;;-394.0
Тюменская область;710;;;;;;;212.0
Ямало-Ненецкий автономный округ (Тюменская область);711;;;;;;;-370.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;;;;;;;710.0
Челябинская область;750;;;;;;;1070.0
Сибирский федеральный округ (с 03.11.2018);41;;;;;;;-9311.0
Республика Алтай;840;;;;;;;14.0
Республика Тыва;930;;;;;;;-1335.0
Республика Хакасия;950;;;;;;;-655.0
Алтайский край;100;;;;;;;-2099.0
Красноярский край;400;;;;;;;-1695.0
Иркутская область;250;;;;;;;-919.0
Кемеровская область - Кузбасс;320;;;;;;;-675.0
Новосибирская область;500;;;;;;;305.0
Омская область;520;;;;;;;-2439.0
Томская область;690;;;;;;;187.0
Дальневосточный федеральный округ (с 03.11.2018);42;;;;;;;-6847.0
Республика Бурятия;810;;;;;;;-195.0
