Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Брянская область;150;Мужчины;Городская местность;10687.0;10644.0;9242.0;8693.0;8413.0;7827.0;7372.0
Владимирская область;170;Мужчины;Городская местность;11143.0;11378.0;10184.0;7828.0;8018.0;8001.0;7426.0
Воронежская область;200;Мужчины;Городская местность;18143.0;19165.0;17803.0;14247.0;14450.0;12906.0;11962.0
Ивановская область;240;Мужчины;Городская местность;10452.0;10176.0;10234.0;8357.0;8591.0;7717.0;7308.0
Калужская область;290;Мужчины;Городская местность;8755.0;8792.0;6910.0;7796.0;11474.0;10053.0;9100.0
Костромская область;340;Мужчины;Городская местность;6288.0;6159.0;6298.0;5876.0;5100.0;4302.0;4328.0
Курская область;380;Мужчины;Городская местность;8969.0;10024.0;9837.0;7765.0;7181.0;6816.0;7279.0
Липецкая область;420;Мужчины;Городская местность;6829.0;7347.0;7211.0;5519.0;5418.0;4730.0;3762.0
Московская область;460;Мужчины;Городская местность;111241.0;123728.0;114311.0;96593.0;102775.0;93592.0;94414.0
Орловская область;540;Мужчины;Городская местность;4844.0;5189.0;4295.0;3082.0;2840.0;2560.0;2637.0
Рязанская область;610;Мужчины;Городская местность;9690.0;10355.0;9660.0;8828.0;7971.0;7824.0;7758.0
Смоленская область;660;Мужчины;Городская местность;8320.0;8263.0;7505.0;6744.0;6658.0;6987.0;6998.0
Тамбовская область;680;Мужчины;Городская местность;7740.0;7796.0;7235.0;5902.0;5164.0;4896.0;4586.0
Тверская область;280;Мужчины;Городская местность;10526.0;10770.0;10842.0;9640.0;9345.0;9048.0;8801.0
Тульская область;700;Мужчины;Городская местность;10830.0;10836.0;10770.0;8680.0;8814.0;8426.0;8129.0
Ярославская область;780;Мужчины;Городская местность;10945.0;11983.0;10655.0;8524.0;7888.0;8285.0;8290.0
Город Москва столица Российской Федерации город федерального значения;450;Мужчины;Городская местность;127299.0;132587.0;115281.0;91630.0;81639.0;122028.0;128790.0
Северо-Западный федеральный округ;31;Мужчины;Городская местность;206653.0;203808.0;195378.0;172947.0;177040.0;160787.0;156433.0
Республика Карелия;860;Мужчины;Городская местность;7379.0;7478.0;7000.0;5762.0;6342.0;5476.0;5070.0
Республика Коми;870;Мужчины;Городская местность;11667.0;11507.0;9377.0;8762.0;8684.0;8294.0;8497.0
Архангельская область;110;Мужчины;Городская местность;13087.0;14311.0;13760.0;11521.0;12270.0;11477.0;11913.0
Ненецкий автономный округ (Архангельская область);111;Мужчины;Городская местность;788.0;855.0;792.0;693.0;731.0;696.0;766.0
Архангельская область (кроме Ненецкого автономного округа);110;Мужчины;Городская местность;12299.0;13456.0;12968.0;10828.0;11539.0;10781.0;11147.0
Вологодская область;190;Мужчины;Городская местность;8181.0;7617.0;6426.0;5722.0;5549.0;4797.0;4788.0
Вологда;194;Мужчины;Городская местность;2650.0;2413.0;2413.0;2413.0;2413.0;2413.0;2413.0
Череповец;194;Мужчины;Городская местность;2559.0;2506.0;2506.0;2506.0;2506.0;2506.0;2506.0
Калининградская область;270;Мужчины;Городская местность;12447.0;14094.0;15099.0;13786.0;14556.0;11689.0;11389.0
Ленинградская область;410;Мужчины;Городская местность;19582.0;21794.0;24714.0;28122.0;27539.0;27431.0;23168.0
Мурманская область;470;Мужчины;Городская местность;15999.0;15698.0;13937.0;12088.0;11604.0;11189.0;11806.0
Новгородская область;490;Мужчины;Городская местность;6292.0;6511.0;6272.0;6262.0;6120.0;5440.0;5017.0
Псковская область;580;Мужчины;Городская местность;8045.0;8360.0;8148.0;7315.0;6753.0;5350.0;4947.0
Город Санкт-Петербург город федерального значения;400;Мужчины;Городская местность;103974.0;96438.0;90645.0;73607.0;77623.0;69644.0;69838.0
