Регион;Код;% привлекательности;Категория;Линейный тренд;Недавний тренд;Вектор тренда
Город Санкт-Петербург город федерального значения;400;100.0;Магниты;-186.44;52.16;📈 Сильный рост
Майкоп;794;0.0;Доноры;-603.57;-25.1;📉 Сильный спад
Элиста;854;44.4;Нестабильные;323.68;202.75;📈 Сильный рост
Симферополь;354;55.6;Нестабильные;-65.67;265.82;📈 Сильный рост
Евпатория;354;88.9;Магниты;352.9;173.28;📈 Сильный рост
Керчь;354;88.9;Магниты;-70.97;255.2;📈 Сильный рост
Краснодар;340;100.0;Магниты;-130.0;28.09;📈 Сильный рост
Армавир;340;22.2;Доноры;642.46;910.42;📈 Сильный рост
Новороссийск;342;88.9;Магниты;-125.63;136.54;📈 Сильный рост
Сочи;342;77.8;Магниты;-683.74;-254.43;📉 Сильный спад
Астрахань;124;0.0;Доноры;-195.33;139.7;📈 Сильный рост
Волгоград;184;55.6;Нестабильные;-123.98;-491.0;📉 Сильный спад
Камышин;184;33.3;Нестабильные;563.47;561.01;📈 Сильный рост
Ростов-на-Дону;604;100.0;Магниты;232.71;256.24;📈 Сильный рост
Волгодонск;604;22.2;Доноры;-220.34;18.56;📈 Сильный рост
Новочеркасск;604;22.2;Доноры;701.32;491.84;📈 Сильный рост
Таганрог;604;66.7;Нестабильные;515.52;455.69;📈 Сильный рост
Шахты;604;11.1;Доноры;-94.6;582.17;📈 Сильный рост
Город федерального значения Севастополь;670;100.0;Магниты;-330.08;-78.25;📉 Сильный спад
Махачкала;824;0.0;Доноры;-794.66;-316.62;📉 Сильный спад
Дербент;824;55.6;Нестабильные;151.11;-11.8;📉 Сильный спад
Хасавюрт;824;33.3;Нестабильные;305.36;-48.07;📉 Сильный спад
Магас;264;100.0;Магниты;310.26;171.93;📈 Сильный рост
Назрань;264;88.9;Магниты;-209.16;318.45;📈 Сильный рост
Нальчик;834;0.0;Доноры;450.35;174.69;📈 Сильный рост
Черкесск;914;33.3;Нестабильные;574.0;81.33;📈 Сильный рост
Владикавказ;904;0.0;Доноры;167.26;565.48;📈 Сильный рост
Грозный;964;0.0;Доноры;-362.29;-24.31;📉 Сильный спад
Ставрополь;740;88.9;Магниты;311.79;210.48;📈 Сильный рост
Невинномысск;742;11.1;Доноры;-244.87;-144.19;📉 Сильный спад
Пятигорск;742;11.1;Доноры;28.51;-458.15;📉 Сильный спад
Уфа;804;77.8;Магниты;198.59;-1.68;📉 Сильный спад
Нефтекамск;804;88.9;Магниты;140.84;-70.09;📉 Сильный спад
Стерлитамак;804;33.3;Нестабильные;232.76;64.61;📈 Сильный рост
Йошкар-Ола;884;100.0;Магниты;110.91;-50.7;📉 Сильный спад
Саранск;894;66.7;Нестабильные;-149.21;95.59;📈 Сильный рост
