Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
Невинномысск;742;-54.3;-73.84;45.99;-70.92;-41.9;-210.9;-143.65;-154.98;-299.17
Пятигорск;742;-301.81;-222.65;-198.39;-126.82;-131.82;-192.54;-62.07;184.85;-273.3
Уфа;804;-7.9;-0.45;47.54;84.84;114.84;24.2;291.8;192.37;190.69
Нефтекамск;804;-9.55;23.81;78.88;194.94;349.18;244.95;210.5;201.38;131.29
Стерлитамак;804;-41.45;-43.43;-141.85;-206.3;-265.59;-209.33;223.38;126.7;191.31
Йошкар-Ола;884;82.44;87.56;115.25;233.68;213.72;349.61;369.89;244.05;193.35
Саранск;894;80.42;118.11;-54.62;57.08;72.5;35.96;54.91;-164.38;-68.79
Казань;924;153.36;214.44;138.64;123.56;59.25;25.8;2.59;38.22;-13.29
Набережные Челны;924;-218.53;-111.1;-16.5;-86.05;-287.82;-155.84;-394.75;-230.68;-220.96
Ижевск;944;-103.38;10.99;64.06;32.8;-55.84;42.01;81.43;26.51;75.33
Чебоксары;974;181.36;255.73;15.89;93.17;4.7;-79.28;116.5;-14.87;18.49
Пермь;574;123.25;96.01;101.14;108.64;104.3;-49.98;-52.96;-56.42;119.99
Березники;574;-805.66;-529.7;-762.33;-510.42;-1062.12;-668.88;-770.54;-633.53;-435.27
Киров;334;183.59;218.66;323.64;315.99;324.06;323.08;344.01;287.68;327.83
Нижний Новгород;224;-35.83;-185.58;-178.24;-23.05;37.13;60.75;22.94;-42.8;-109.01
Арзамас;224;-126.43;-234.51;-354.57;-31.37;180.37;74.47;-13.27;-76.07;36.32
Дзержинск;224;-62.19;-79.62;55.44;20.41;56.27;139.16;171.41;54.48;57.53
Оренбург;534;-103.23;-43.82;-85.16;-24.41;244.77;206.76;-8.45;-314.2;-267.48
Орск;534;-325.07;-168.05;-153.47;-120.47;-148.67;-36.99;-52.96;-10.36;50.73
Пенза;564;157.04;-86.75;43.24;72.73;111.47;-15.98;-575.48;-437.03;-228.69
Самара;364;-109.4;-164.54;-355.95;-345.07;-100.76;-242.69;-46.78;0.06;-35.81
Сызрань;364;-149.83;-329.74;-430.82;-713.66;-225.5;-99.49;-140.6;-226.16;-362.86
