Регион;Код;2015 г.;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.
Калининградская область;27000000000;4775.0;7292.0;6366.0;6697.0;8667.0;4475.0;5742.0;-430.0;299.0;-1979.0
Ленинградская область;41000000000;5746.0;8494.0;6002.0;17782.0;71003.0;29210.0;25926.0;10333.0;16281.0;64782.0
Мурманская область;47000000000;-9240.0;-9015.0;-9010.0;-10085.0;-10663.0;-12379.0;-12221.0;-6352.0;-2223.0;-4921.0
Новгородская область;49000000000;-2002.0;-1984.0;-2819.0;-1942.0;-1342.0;-1634.0;-3159.0;-3658.0;-2731.0;-2288.0
Псковская область;58000000000;-3939.0;-3284.0;-4381.0;-4696.0;-3575.0;-5099.0;-4734.0;-6627.0;-5112.0;-4775.0
Город Санкт-Петербург город федерального значения;40000000000;54974.0;74146.0;89432.0;51573.0;34377.0;7761.0;19403.0;-7872.0;-2281.0;55159.0
Южный федеральный округ (с 29.07.2016);040;97649.0;86269.0;59052.0;59585.0;51870.0;2767.0;3330.0;-45967.0;-3563.0;-15797.0
Республика Адыгея (Адыгея);79000000000;2912.0;1693.0;60.0;965.0;5495.0;-310.0;3193.0;-2491.0;-334.0;-609.0
Республика Калмыкия;85000000000;-546.0;-116.0;-785.0;-773.0;258.0;179.0;-278.0;-375.0;1005.0;724.0
Республика Крым;35000000000;8385.0;6621.0;3213.0;1901.0;2111.0;-7528.0;-2633.0;-10273.0;-5424.0;-5609.0
Краснодарский край;03000000000;60021.0;60167.0;46202.0;54133.0;37825.0;30974.0;33177.0;2501.0;16405.0;12312.0
Астраханская область;12000000000;-5490.0;-3771.0;-3190.0;-4655.0;-9723.0;-10412.0;-11457.0;-6805.0;-4246.0;-230.0
Волгоградская область;18000000000;-2625.0;-1896.0;-4247.0;-3764.0;-5754.0;-6681.0;-11199.0;-14931.0;-10099.0;-12563.0
Ростовская область;60000000000;-307.0;3021.0;-1482.0;-6604.0;377.0;-10941.0;-21879.0;-24698.0;-4346.0;-6747.0
Город федерального значения Севастополь;67000000000;35299.0;20550.0;19281.0;18382.0;21281.0;7486.0;14406.0;11105.0;3476.0;-3075.0
Северо-Кавказский федеральный округ;038;53205.0;51128.0;42869.0;46321.0;63151.0;33404.0;29816.0;10734.0;54618.0;143719.0
Республика Дагестан;82000000000;14750.0;15029.0;12204.0;14894.0;14161.0;9265.0;8493.0;9229.0;9682.0;13131.0
Республика Ингушетия;26000000000;11563.0;10280.0;8700.0;10056.0;10370.0;9191.0;9138.0;4362.0;5325.0;3940.0
Кабардино-Балкарская Республика;83000000000;1030.0;839.0;561.0;-216.0;1221.0;200.0;803.0;-1801.0;605.0;602.0
Карачаево-Черкесская Республика;91000000000;-577.0;-972.0;-668.0;-245.0;-356.0;-508.0;-992.0;-114.0;146.0;369.0
Республика Северная Осетия-Алания;90000000000;-1133.0;-735.0;-1472.0;-2023.0;-2269.0;-3604.0;-4581.0;-3094.0;-504.0;342.0
Чеченская Республика;96000000000;13047.0;12068.0;13549.0;11481.0;13897.0;11795.0;10050.0;6958.0;37587.0;122422.0
Ставропольский край;07000000000;14525.0;14619.0;9995.0;12374.0;26127.0;7065.0;6905.0;-4806.0;1777.0;2913.0
Приволжский федеральный округ;033;5328.0;14218.0;-31761.0;-63235.0;-46133.0;-133361.0;-128285.0;-103123.0;-75637.0;-60819.0
Республика Башкортостан;80000000000;6044.0;5110.0;5091.0;881.0;3021.0;-8839.0;8109.0;3042.0;2059.0;-4742.0
Республика Марий Эл;88000000000;1976.0;1813.0;1313.0;2670.0;2741.0;678.0;1521.0;-722.0;382.0;-1137.0
Республика Мордовия;89000000000;3248.0;4786.0;694.0;-3603.0;-710.0;-6514.0;-2931.0;-5334.0;-2382.0;-2894.0
Республика Татарстан (Татарстан);92000000000;24067.0;27771.0;22041.0;15607.0;11405.0;-13.0;-52.0;441.0;-2193.0;14203.0
Удмуртская Республика;94000000000;-889.0;-795.0;-3144.0;-2811.0;-4844.0;-5542.0;-7669.0;-3724.0;-4927.0;-5451.0
Чувашская Республика - Чувашия;97000000000;5109.0;7368.0;2019.0;665.0;585.0;-4169.0;-797.0;-3611.0;-1215.0;-900.0
Пермский край;57000000000;-3087.0;-1751.0;-8536.0;-10702.0;-11038.0;-20205.0;-21115.0;-12480.0;-7058.0;-6232.0
Кировская область;33000000000;-7384.0;-6463.0;-7278.0;-8595.0;-8388.0;-10850.0;-14079.0;-4225.0;-2232.0;-4923.0
Нижегородская область;22000000000;-8099.0;-12083.0;-11928.0;-17691.0;-8000.0;-19626.0;-24704.0;-19728.0;-16003.0;-15711.0
Оренбургская область;53000000000;-10177.0;-9029.0;-11996.0;-11882.0;-2763.0;-10203.0;-12436.0;-6505.0;-5507.0;-5018.0
Пензенская область;56000000000;-4037.0;-5658.0;-6297.0;-8527.0;-6596.0;-8909.0;-11782.0;-9433.0;-6211.0;-3882.0
Самарская область;36000000000;-7547.0;-2346.0;-9989.0;-10593.0;-1874.0;-20452.0;-17832.0;-19908.0;-15265.0;-14056.0
Саратовская область;63000000000;7111.0;5770.0;-2128.0;-5831.0;-15559.0;-12651.0;-16618.0;-15316.0;-10853.0;-7634.0
Ульяновская область;73000000000;-1007.0;-275.0;-1623.0;-2823.0;-4113.0;-6066.0;-7900.0;-5620.0;-4232.0;-2442.0
Уральский федеральный округ;034;43289.0;51741.0;30478.0;15955.0;21664.0;-10982.0;-11054.0;-12484.0;10043.0;28086.0
Курганская область;37000000000;-3565.0;-5790.0;-5680.0;-5165.0;-4889.0;-5207.0;-7368.0;-5222.0;-4191.0;-3563.0
Свердловская область;65000000000;11242.0;7898.0;5269.0;1523.0;1103.0;-11640.0;-15435.0;-19410.0;-12773.0;1621.0
Тюменская область;71000000000;31074.0;47010.0;35755.0;33158.0;34156.0;24861.0;33128.0;24741.0;39538.0;39484.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);71100000000;14932.0;19413.0;8477.0;9706.0;11240.0;13674.0;15338.0;17803.0;28810.0;21988.0
