Регион;Код;2010;2011;2012;2013;2014;2015;2016;2017
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;54385.0;54385.0;59854.0;59854.0;52443.0;50300.0;51282.0;52577.0
Челябинская область;750;42076.0;71781.0;83294.0;88640.0;90163.0;85724.0;87373.0;84382.0
Сибирский федеральный округ;35;322350.0;485222.0;563009.0;581116.0;565401.0;569520.0;565459.0;563849.0
Республика Алтай;840;4778.0;9743.0;9366.0;9909.0;11637.0;12577.0;12996.0;12768.0
Республика Тыва;930;7946.0;8654.0;10458.0;10416.0;9789.0;10440.0;11607.0;12147.0
Республика Хакасия;950;12508.0;16909.0;20614.0;21977.0;21953.0;22824.0;23101.0;23081.0
Алтайский край;100;41213.0;66912.0;78274.0;80098.0;74526.0;71331.0;66011.0;62669.0
Агинский Бурятский округ (Забайкальский край);761;1867.0;1867.0;1867.0;1867.0;1867.0;1867.0;1867.0;1867.0
Красноярский край;400;56106.0;83560.0;95902.0;101823.0;104422.0;105824.0;110007.0;109508.0
Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);410;678.0;678.0;678.0;678.0;678.0;678.0;678.0;678.0
Эвенкийский автономный округ (Красноярский край);413;222.0;222.0;222.0;222.0;222.0;222.0;222.0;222.0
Иркутская область;250;35548.0;51904.0;58811.0;64212.0;59289.0;57409.0;59207.0;62742.0
Кемеровская область - Кузбасс;320;37223.0;54348.0;61885.0;61253.0;63325.0;65960.0;68550.0;67165.0
Усть-Ордынский Бурятский округ;251;1428.0;1428.0;1428.0;1428.0;1428.0;1428.0;1428.0;1428.0
Новосибирская область;500;45182.0;66890.0;79815.0;82295.0;67203.0;67652.0;61574.0;62646.0
Омская область;520;24764.0;41508.0;48610.0;48320.0;49310.0;47664.0;45600.0;45306.0
Томская область;690;18747.0;30385.0;37976.0;37902.0;36269.0;36506.0;36981.0;38200.0
Дальневосточный федеральный округ;36;91060.0;169412.0;205547.0;214646.0;210081.0;213261.0;215807.0;221524.0
Республика Бурятия;810;19873.0;29886.0;34784.0;36942.0;39551.0;42458.0;42579.0;40119.0
Забайкальский край;760;18462.0;24523.0;26514.0;25969.0;28127.0;28875.0;27246.0;27498.0
Республика Саха (Якутия);980;13723.0;24952.0;31655.0;32167.0;30755.0;35430.0;35339.0;39519.0
Камчатский край;300;4985.0;5737.0;7513.0;9755.0;9428.0;9661.0;9136.0;8823.0
Корякский округ, входящий в состав Камчатского края;301;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0
Приморский край;500;23201.0;51799.0;63491.0;63687.0;65459.0;65323.0;64919.0;66095.0
Хабаровский край;800;20568.0;30796.0;41023.0;51251.0;46968.0;44638.0;45589.0;44628.0
Амурская область;100;15181.0;22426.0;24833.0;25621.0;25604.0;26132.0;26270.0;26601.0
