Регион;Код;2015 г.;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.
Республика Саха (Якутия);98000000000;332412.0;332748.0;332743.0;331622.0;330767.0;331532.0;330880.0;328345.0;325971.0;324157.0
Камчатский край;30000000000;68895.0;67883.0;67291.0;66814.0;66261.0;65600.0;64854.0;64085.0;63322.0;62636.0
Приморский край;05000000000;434731.0;429751.0;424655.0;418415.0;412185.0;406493.0;400027.0;394641.0;391240.0;388057.0
Хабаровский край;08000000000;230379.0;227702.0;225403.0;223240.0;221157.0;218209.0;215168.0;212924.0;211351.0;210305.0
Амурская область;10000000000;261463.0;259906.0;258305.0;255836.0;252867.0;249601.0;245422.0;241109.0;237636.0;237712.0
Магаданская область;44000000000;6041.0;5873.0;5633.0;5350.0;5084.0;4968.0;4943.0;4810.0;4705.0;4658.0
Сахалинская область;64000000000;89144.0;87818.0;86829.0;85967.0;84916.0;83903.0;82501.0;80817.0;79421.0;78523.0
Еврейская автономная область;99000000000;50315.0;48882.0;47638.0;46386.0;45474.0;44935.0;44212.0;43367.0;42769.0;42214.0
Чукотский автономный округ;77000000000;16065.0;15621.0;15281.0;15152.0;15113.0;15083.0;15022.0;14869.0;14752.0;14602.0
Крымский федеральный округ;039;966498.0;;;;;;;;;
Российская Федерация без учета новых субъектов (с 01.01.2023);643004.АГ;;;;;;;;;;36473989.0
