Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Волгоградская область;180;Женщины;Сельская местность;-36236.0;-38102.0;-35464.0;-29047.0;-30932.0;-29265.0;-28009.0
Ростовская область;600;Женщины;Сельская местность;-56889.0;-58683.0;-53738.0;-47689.0;-47444.0;-48171.0;-47811.0
Город федерального значения Севастополь;670;Женщины;Сельская местность;-5034.0;-5862.0;-5832.0;-6556.0;-7352.0;-7961.0;-8118.0
Северо-Кавказский федеральный округ;38;Женщины;Сельская местность;-115651.0;-123506.0;-116183.0;-92543.0;-94928.0;-93327.0;-98484.0
Республика Дагестан;820;Женщины;Сельская местность;-35373.0;-36057.0;-32386.0;-25508.0;-26473.0;-25992.0;-29640.0
Республика Ингушетия;260;Женщины;Сельская местность;-3228.0;-3734.0;-3325.0;-2842.0;-2968.0;-3441.0;-3662.0
Кабардино-Балкарская Республика;830;Женщины;Сельская местность;-7915.0;-8575.0;-7246.0;-5373.0;-5436.0;-6002.0;-4955.0
Карачаево-Черкесская Республика;910;Женщины;Сельская местность;-6225.0;-7122.0;-6929.0;-6122.0;-6521.0;-6700.0;-6699.0
Республика Северная Осетия-Алания;900;Женщины;Сельская местность;-8674.0;-9745.0;-7776.0;-5964.0;-5425.0;-6079.0;-5929.0
Чеченская Республика;960;Женщины;Сельская местность;-12043.0;-11853.0;-10945.0;-8427.0;-9461.0;-10029.0;-10004.0
Ставропольский край;700;Женщины;Сельская местность;-42193.0;-46420.0;-47576.0;-38307.0;-38644.0;-35084.0;-37595.0
Приволжский федеральный округ;33;Женщины;Сельская местность;-469953.0;-488737.0;-448718.0;-378033.0;-398145.0;-371940.0;-354647.0
Республика Башкортостан;800;Женщины;Сельская местность;-80911.0;-83671.0;-79742.0;-66402.0;-74225.0;-72643.0;-74039.0
Республика Марий Эл;880;Женщины;Сельская местность;-13500.0;-13675.0;-13774.0;-12788.0;-12607.0;-11958.0;-11089.0
Республика Мордовия;890;Женщины;Сельская местность;-13435.0;-14687.0;-13059.0;-10277.0;-10915.0;-10428.0;-9142.0
Республика Татарстан (Татарстан);920;Женщины;Сельская местность;-47376.0;-47738.0;-41533.0;-37294.0;-39855.0;-35537.0;-35182.0
Удмуртская Республика;940;Женщины;Сельская местность;-28369.0;-28933.0;-23797.0;-20438.0;-22417.0;-21845.0;-20460.0
Чувашская Республика - Чувашия;970;Женщины;Сельская местность;-28906.0;-31862.0;-25632.0;-21081.0;-22342.0;-19838.0;-17745.0
Пермский край;570;Женщины;Сельская местность;-48748.0;-49931.0;-44077.0;-38234.0;-40380.0;-36051.0;-35210.0
Кировская область;330;Женщины;Сельская местность;-31096.0;-32947.0;-30012.0;-26043.0;-25956.0;-24892.0;-23895.0
Нижегородская область;220;Женщины;Сельская местность;-35269.0;-37163.0;-36390.0;-32713.0;-32342.0;-29249.0;-26186.0
Оренбургская область;530;Женщины;Сельская местность;-34019.0;-34586.0;-34870.0;-28327.0;-30087.0;-26867.0;-24608.0
Пензенская область;560;Женщины;Сельская местность;-19535.0;-20277.0;-19221.0;-13609.0;-12905.0;-12763.0;-12267.0
Самарская область;360;Женщины;Сельская местность;-33125.0;-35621.0;-34022.0;-28015.0;-30352.0;-27674.0;-26386.0
Саратовская область;630;Женщины;Сельская местность;-37924.0;-38522.0;-36242.0;-29233.0;-29311.0;-29181.0;-26801.0
Ульяновская область;730;Женщины;Сельская местность;-17740.0;-19124.0;-16347.0;-13579.0;-14451.0;-13014.0;-11637.0
Уральский федеральный округ;34;Женщины;Сельская местность;-216205.0;-219748.0;-196555.0;-175268.0;-179751.0;-164423.0;-152745.0
Курганская область;370;Женщины;Сельская местность;-18580.0;-21486.0;-17914.0;-16465.0;-17718.0;-15817.0;-14349.0
Свердловская область;650;Женщины;Сельская местность;-65504.0;-66480.0;-55951.0;-50678.0;-50568.0;-45043.0;-41333.0
Тюменская область;710;Женщины;Сельская местность;-81058.0;-80583.0;-74970.0;-64891.0;-67163.0;-62730.0;-58757.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;Женщины;Сельская местность;-38943.0;-38326.0;-34784.0;-30246.0;-30246.0;-30246.0;-30246.0
Ямало-Ненецкий автономный округ (Тюменская область);711;Женщины;Сельская местность;-17893.0;-17934.0;-16213.0;-13101.0;-13885.0;-12946.0;-12000.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;Женщины;Сельская местность;-24222.0;-24323.0;-23973.0;-21544.0;-21216.0;-20015.0;-18819.0
